year;A2_Grade_A;A2_Grade_B;A2_Grade_C;A2_A1;A2_Fail;A2s_Grade_A;A2s_Grade_B;A2s_Grade_C;A2s_A1;A2s_Fail
2011;0,04;0,25;0,44;0,20;0,07;0,03;0,29;0,46;0,19;0,04
2012;0,14;0,16;0,42;0,20;0,08;0,14;0,19;0,45;0,19;0,04
2013;0,14;0,16;0,40;0,21;0,08;0,16;0,19;0,43;0,18;0,05
2014;0,13;0,16;0,38;0,23;0,11;0,19;0,13;0,35;0,20;0,12
2015;0,13;0,17;0,39;0,22;0,10;0,16;0,18;0,42;0,19;0,05
2016;0,16;0,21;0,38;0,20;0,06;0,16;0,22;0,39;0,19;0,04
2017;0,18;0,21;0,36;0,19;0,06;0,17;0,22;0,39;0,18;0,04
2018;0,16;0,19;0,36;0,22;0,07;0,17;0,22;0,39;0,19;0,04
2019;0,15;0,19;0,36;0,23;0,07;0,15;0,20;0,41;0,21;0,04
2020;0,24;0,23;0,32;0,17;0,04;0,20;0,25;0,38;0,15;0,02
2021;0,25;0,23;0,30;0,16;0,07;0,30;0,27;0,30;0,11;0,02
2022;0,28;0,23;0,28;0,15;0,06;0,27;0,25;0,32;0,14;0,03