Location;Grade A;Grade B;Grade C;A1;Fail
Albania;0,64;0,23;0,11;0,02;0,01
Algeria;0,10;0,05;0,57;0,19;0,10
Argentina;0,25;0,27;0,32;0,15;0,01
Bangladesh;0,55;0,25;0,18;0,02;0,00
Belgium;1,00;0,00;0,00;0,00;0,00
Bolivia;0,00;0,00;0,14;0,36;0,50
Bosnia and Her;0,00;0,50;0,00;0,00;0,50
Brazil;0,38;0,27;0,24;0,09;0,02
Bulgaria;0,75;0,17;0,08;0,00;0,00
Cameroon;0,10;0,23;0,45;0,16;0,07
Chile;0,20;0,21;0,35;0,19;0,06
China;0,00;0,31;0,54;0,15;0,00
Colombia;0,08;0,14;0,38;0,30;0,11
Croatia;0,91;0,09;0,00;0,00;0,00
Cuba;0,90;0,10;0,00;0,00;0,00
Czech Republic;0,46;0,23;0,24;0,08;0,00
Ecuador;0,13;0,12;0,17;0,22;0,36
Egypt;0,67;0,17;0,00;0,17;0,00
France;0,21;0,27;0,38;0,13;0,01
Gabon;0,29;0,34;0,21;0,08;0,08
Georgia;0,56;0,21;0,21;0,03;0,00
Germany;0,55;0,29;0,13;0,03;0,00
India;0,30;0,28;0,38;0,05;0,00
Indonesia;0,15;0,27;0,37;0,18;0,04
Ireland;0,15;0,24;0,36;0,22;0,03
Italy;0,33;0,26;0,30;0,11;0,01
Japan;0,03;0,16;0,55;0,25;0,01
Kazakhstan;0,06;0,11;0,50;0,33;0,00
Kyrgyzstan;0,00;0,06;0,28;0,61;0,06
Libya;0,10;0,13;0,36;0,26;0,15
Macedonia;0,32;0,16;0,16;0,20;0,16
Malaysia;0,38;0,29;0,24;0,07;0,03
Maldives;0,77;0,17;0,05;0,01;0,00
Malta;0,13;0,13;0,38;0,38;0,00
Mexico;0,15;0,22;0,26;0,26;0,11
Moldova (Repub;0,40;0,24;0,21;0,16;0,00
Montenegro;0,73;0,27;0,00;0,00;0,00
Morocco;0,27;0,07;0,13;0,53;0,00
Netherlands;0,41;0,37;0,18;0,05;0,00
New Caledonia;0,20;0,40;0,30;0,10;0,00
Paraguay;0,09;0,18;0,64;0,09;0,00
Peru;0,46;0,20;0,23;0,08;0,04
Poland;0,13;0,16;0,31;0,31;0,09
Portugal;0,49;0,34;0,15;0,02;0,01
Romania;0,71;0,22;0,06;0,01;0,00
Russia;0,16;0,20;0,54;0,10;0,00
Saudi Arabia;0,04;0,15;0,36;0,28;0,17
Serbia;0,49;0,14;0,31;0,06;0,00
Spain;0,20;0,29;0,32;0,16;0,04
Sri Lanka;0,29;0,31;0,32;0,07;0,01
Switzerland;0,44;0,28;0,20;0,08;0,01
Thailand;0,41;0,22;0,18;0,11;0,09
Tunisia;0,25;0,25;0,50;0,00;0,00
Ukraine;0,16;0,26;0,36;0,20;0,03
United Kingdom;0,12;0,28;0,36;0,21;0,03
Uruguay;0,34;0,28;0,24;0,13;0,01
Vietnam;0,15;0,23;0,34;0,23;0,05