Location;Grade A;Grade B;Grade C;A2;Fail
Albania;0,26;0,23;0,36;0,15;0,00
Algeria;0,20;0,25;0,30;0,21;0,04
Andorra;0,11;0,33;0,55;0,01;0,00
Angola;0,18;0,16;0,58;0,08;0,00
Argentina;0,27;0,25;0,38;0,09;0,00
Armenia;0,13;0,26;0,48;0,13;0,00
Australia;0,33;0,33;0,33;0,00;0,00
Austria;0,47;0,30;0,22;0,02;0,00
Azerbaijan;0,19;0,20;0,50;0,10;0,01
Bahrain;0,00;0,08;0,50;0,33;0,08
Bangladesh;0,33;0,33;0,29;0,05;0,00
Belarus;0,10;0,30;0,60;0,00;0,00
Belgium;0,57;0,20;0,23;0,00;0,00
Bolivia;0,36;0,18;0,46;0,00;0,00
Bosnia and Herzegovina;0,59;0,22;0,13;0,06;0,00
Brazil;0,30;0,24;0,33;0,12;0,01
Bulgaria;0,67;0,19;0,12;0,02;0,00
Cambodia;0,33;0,17;0,19;0,29;0,02
Chile;0,30;0,21;0,31;0,16;0,02
China;0,07;0,14;0,53;0,26;0,00
Colombia;0,19;0,17;0,35;0,25;0,04
Costa Rica;0,20;0,19;0,33;0,25;0,03
Cote D'ivoire;0,34;0,23;0,32;0,11;0,01
Croatia;0,76;0,22;0,02;0,00;0,00
Cyprus;0,41;0,21;0,28;0,09;0,01
Czech Republic;0,44;0,28;0,25;0,04;0,00
Dominican Republic;0,32;0,38;0,27;0,03;0,00
Ecuador;0,23;0,22;0,33;0,20;0,03
Egypt;0,18;0,23;0,47;0,13;0,00
Estonia;0,31;0,31;0,39;0,00;0,00
France;0,23;0,22;0,39;0,15;0,00
Georgia;0,48;0,27;0,24;0,01;0,00
Germany;0,45;0,27;0,24;0,04;0,00
Greece;0,36;0,30;0,29;0,04;0,00
Guadeloupe;0,18;0,31;0,23;0,24;0,04
Hong Kong;0,36;0,29;0,30;0,05;0,00
Hungary;0,44;0,28;0,24;0,05;0,00
India;0,21;0,21;0,39;0,19;0,01
Indonesia;0,31;0,23;0,36;0,10;0,00
Iraq;0,28;0,18;0,34;0,18;0,03
Ireland;0,19;0,34;0,34;0,13;0,01
Italy;0,25;0,25;0,38;0,12;0,01
Japan;0,04;0,06;0,38;0,48;0,04
Kazakhstan;0,29;0,19;0,46;0,07;0,00
Kenya;0,57;0,26;0,12;0,06;0,00
Korea (Republic of );0,14;0,18;0,41;0,18;0,09
Kyrgyzstan;0,00;0,00;0,50;0,50;0,00
Laos;0,22;0,13;0,32;0,24;0,09
Latvia;0,69;0,25;0,06;0,00;0,00
Libya;0,12;0,15;0,51;0,22;0,00
Luxembourg;0,23;0,27;0,31;0,19;0,00
Macau;0,06;0,13;0,55;0,26;0,00
Malaysia;0,40;0,25;0,30;0,05;0,00
Maldives;0,30;0,44;0,22;0,04;0,00
Mexico;0,19;0,23;0,40;0,16;0,02
Moldova (Republic of);0,44;0,30;0,21;0,06;0,00
Montenegro;1,00;0,00;0,00;0,00;0,00
Morocco;0,20;0,20;0,38;0,18;0,03
Myanmar;0,51;0,24;0,22;0,03;0,00
Netherlands;0,55;0,30;0,14;0,02;0,00
Pakistan;0,21;0,22;0,36;0,21;0,01
Paraguay;0,07;0,29;0,48;0,15;0,01
Peru;0,31;0,25;0,33;0,10;0,01
Poland;0,46;0,29;0,22;0,03;0,00
Portugal;0,54;0,27;0,17;0,02;0,00
Qatar;0,45;0,45;0,10;0,00;0,00
Reunion;0,13;0,17;0,63;0,08;0,00
Romania;0,67;0,22;0,10;0,01;0,00
Russia;0,24;0,25;0,41;0,10;0,00
Saudi Arabia;0,00;0,29;0,15;0,41;0,15
Serbia;0,65;0,25;0,09;0,01;0,00
Singapore;0,12;0,18;0,40;0,29;0,02
Slovak Republic;0,61;0,21;0,13;0,04;0,00
Slovenia;0,61;0,13;0,26;0,00;0,00
South Africa;0,72;0,17;0,10;0,00;0,00
Spain;0,15;0,23;0,49;0,13;0,00
Sri Lanka;0,32;0,24;0,34;0,10;0,00
Sweden;0,86;0,07;0,07;0,00;0,00
Switzerland;0,38;0,31;0,28;0,03;0,00
Taiwan;0,09;0,17;0,50;0,24;0,00
Thailand;0,20;0,19;0,36;0,21;0,04
Tunisia;0,24;0,24;0,42;0,09;0,00
Turkey;0,26;0,20;0,34;0,19;0,02
Uganda;0,60;0,40;0,00;0,00;0,00
Ukraine;0,18;0,24;0,47;0,11;0,00
United Arab Emirates;0,37;0,18;0,24;0,20;0,01
United Kingdom;0,27;0,29;0,34;0,09;0,01
Uruguay;0,24;0,24;0,40;0,12;0,00
Vietnam;0,12;0,17;0,43;0,27;0,01