Location;Grade A;Grade B;Grade C;C1;Fail;;
Albania;0,09;0,09;0,27;0,55;0,00;;
Argentina;0,13;0,26;0,40;0,20;0,02;;
Armenia;0,30;0,30;0,30;0,10;0,00;;
Australia;0,06;0,31;0,56;0,06;0,00;;
Austria;0,21;0,31;0,34;0,14;0,01;;
Belgium;0,27;0,13;0,38;0,18;0,04;;
Bolivia;0,14;0,29;0,29;0,29;0,00;;
Bosnia and Herzegovina;0,00;0,07;0,39;0,46;0,07;;
Brazil;0,09;0,20;0,33;0,30;0,09;;
Bulgaria;0,19;0,26;0,34;0,17;0,04;;
Canada;0,10;0,24;0,38;0,29;0,00;;
Chile;0,16;0,23;0,33;0,23;0,06;;
Costa Rica;0,50;0,00;0,00;0,50;0,00;;
Croatia;0,31;0,31;0,26;0,12;0,00;;
Cyprus;0,05;0,05;0,26;0,53;0,11;;
Czech Republic;0,31;0,32;0,27;0,09;0,01;;
Denmark;0,06;0,25;0,44;0,19;0,06;;
Ecuador;0,12;0,15;0,25;0,44;0,04;;
Estonia;0,28;0,32;0,32;0,08;0,00;;
Finland;0,22;0,22;0,44;0,11;0,00;;
France;0,14;0,25;0,35;0,22;0,04;;
Georgia;0,25;0,25;0,50;0,00;0,00;;
Germany;0,25;0,28;0,29;0,14;0,04;;
Greece;0,07;0,17;0,40;0,28;0,09;;
Hungary;0,18;0,30;0,31;0,17;0,05;;
India;0,07;0,13;0,33;0,30;0,17;;
Ireland;0,09;0,21;0,34;0,30;0,05;;
Italy;0,13;0,25;0,35;0,22;0,05;;
Japan;0,00;0,07;0,29;0,45;0,19;;
Kazakhstan;0,00;0,38;0,50;0,13;0,00;;
Laos;0,00;0,00;0,00;0,38;0,63;;
Luxembourg;0,23;0,31;0,23;0,15;0,08;;
Macedonia;0,00;0,40;0,60;0,00;0,00;;
Malaysia;0,20;0,23;0,27;0,23;0,07;;
Maldives;0,11;0,20;0,36;0,24;0,09;;
Malta;0,00;0,33;0,33;0,33;0,00;;
Mexico;0,08;0,27;0,36;0,23;0,06;;
Moldova (Republic of);0,11;0,56;0,22;0,11;0,00;;
Netherlands;0,12;0,30;0,40;0,16;0,03;;
New Zealand;0,17;0,33;0,33;0,00;0,17;;
Paraguay;0,14;0,05;0,55;0,14;0,14;;
Peru;0,03;0,11;0,40;0,33;0,14;;
Poland;0,22;0,35;0,29;0,13;0,02;;
Portugal;0,14;0,28;0,39;0,15;0,03;;
Romania;0,31;0,33;0,26;0,07;0,03;;
Russia;0,33;0,26;0,14;0,18;0,09;;
Serbia;0,20;0,27;0,35;0,13;0,05;;
Slovak Republic;0,28;0,31;0,28;0,10;0,04;;
Slovenia;0,32;0,20;0,36;0,12;0,00;;
South Africa;0,00;0,25;0,47;0,25;0,03;;
Spain;0,11;0,22;0,41;0,23;0,03;;
Sri Lanka;0,02;0,22;0,22;0,32;0,22;;
Sweden;0,17;0,26;0,22;0,30;0,04;;
Switzerland;0,19;0,31;0,33;0,15;0,02;;
Taiwan;0,08;0,17;0,25;0,25;0,25;;
Thailand;0,67;0,33;0,00;0,00;0,00;;
Turkey;0,30;0,20;0,15;0,20;0,15;;
United Kingdom;0,18;0,23;0,36;0,21;0,03;;
United States of America;0,09;0,26;0,41;0,21;0,03;;
Uruguay;0,05;0,19;0,41;0,30;0,05;;
Uzbekistan;0,00;0,29;0,43;0,29;0,00;;